142.251.46.142,443,192.168.50.154,57857,udp,0.0849614143371582,9183,,0
142.251.46.142,443,192.168.50.154,64374,udp,0.10786676406860352,9392,,0
150.171.109.225,443,192.168.50.154,62026,tcp,90.14907646179199,11550,,0
150.171.109.226,443,192.168.50.154,53233,tcp,90.10828709602356,78963,,0
150.171.109.226,443,192.168.50.154,61860,tcp,90.10992741584778,71527,,0
150.171.109.226,443,192.168.50.154,63824,tcp,90.10809135437012,9625,,0
150.171.109.226,443,192.168.50.154,65114,tcp,90.13408064842224,78909,,0
150.171.109.227,443,192.168.50.154,54426,tcp,90.17845487594604,78995,,0
150.171.109.227,443,192.168.50.154,54996,tcp,90.14358139038086,71239,,0
150.171.109.227,443,192.168.50.154,62909,tcp,90.16370463371277,9313,,0
162.151.50.149,0,192.168.50.154,0,udp,0.0,134,,0
162.151.50.69,0,192.168.50.154,0,udp,0.0,134,,0
162.254.195.75,27018,192.168.50.154,54545,tcp,1430.082529783249,21688,,0
17.253.23.202,80,192.168.50.154,62035,tcp,60.03870224952698,540,,0
172.64.151.57,443,192.168.50.154,51350,tcp,460.1209490299225,6255,,0
173.194.206.84,443,192.168.50.154,59631,udp,0.181196928024292,8207,,0
18.160.143.129,443,192.168.50.154,51223,udp,0.11963820457458496,14222,,0
18.235.30.233,443,192.168.50.154,53864,tcp,60.17974543571472,8161,,0
18.238.136.74,443,192.168.50.154,62036,tcp,100.07952761650085,1028,,0
18.238.136.74,443,192.168.50.154,65109,tcp,0.047261953353881836,974,,0
18.238.136.87,443,192.168.50.154,53648,tcp,0.0978548526763916,846,,0
18.238.136.87,443,192.168.50.154,53649,tcp,100.0926239490509,1177,,0
18.238.136.87,443,192.168.50.154,62121,tcp,0.10148191452026367,846,,0
18.238.136.87,443,192.168.50.154,62122,tcp,100.06598806381226,1178,,0
192.168.50.1,0,224.0.0.1,0,udp,1440.0899612903595,3796,,0
192.168.50.1,53,192.168.50.154,49171,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,49265,udp,0.0,119,,0
192.168.50.1,53,192.168.50.154,49370,udp,0.33409881591796875,385,,0
192.168.50.1,53,192.168.50.154,49553,udp,0.0,153,,0
192.168.50.1,53,192.168.50.154,49567,udp,0.0,438,,0
192.168.50.1,53,192.168.50.154,49654,udp,2.245906352996826,318,,0
192.168.50.1,53,192.168.50.154,49658,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,49670,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,49761,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,49876,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,49930,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,49952,udp,0.8176517486572266,445,,0
192.168.50.1,53,192.168.50.154,49954,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,49987,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,50060,udp,0.0,178,,0
192.168.50.1,53,192.168.50.154,50081,udp,0.0,213,,0
192.168.50.1,53,192.168.50.154,50267,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,50467,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,50473,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,50486,udp,0.0,126,,0
192.168.50.1,53,192.168.50.154,50503,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,50527,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,50557,udp,1263.4284327030182,386,,0
192.168.50.1,53,192.168.50.154,50637,udp,0.0,326,,0
192.168.50.1,53,192.168.50.154,50731,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,50787,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,50927,udp,0.0,218,,0
192.168.50.1,53,192.168.50.154,50958,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,51091,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,51104,udp,0.0,86,,0
192.168.50.1,53,192.168.50.154,51290,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,51297,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,51327,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,51426,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,51648,udp,0.0,111,,0
192.168.50.1,53,192.168.50.154,51650,udp,0.0,126,,0
192.168.50.1,53,192.168.50.154,51720,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,52126,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,52133,udp,0.0,155,,0
192.168.50.1,53,192.168.50.154,52193,udp,0.0,126,,0
192.168.50.1,53,192.168.50.154,52261,udp,0.0,268,,0
192.168.50.1,53,192.168.50.154,52315,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,52325,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,52336,udp,329.7532277107239,231,,0
192.168.50.1,53,192.168.50.154,52396,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,52547,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,52586,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,52605,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,52685,udp,0.0,209,,0
192.168.50.1,53,192.168.50.154,52703,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,52853,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,53067,udp,39.99472403526306,1843,,0
