0.0.0.0,68,255.255.255.255,67,udp,0.0,342,,0
192.168.50.1,53,192.168.50.154,49171,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,49198,udp,0.0,218,,0
192.168.50.1,53,192.168.50.154,49325,udp,101.14316129684448,446,,0
192.168.50.1,53,192.168.50.154,49343,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,49431,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,49458,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,49536,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,49587,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,49623,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,49746,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,49850,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,49878,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,49982,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,49992,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,50155,udp,0.0,196,,0
192.168.50.1,53,192.168.50.154,50298,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,50347,udp,0.0,111,,0
192.168.50.1,53,192.168.50.154,50420,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,50524,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,50618,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,50643,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,50656,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,50660,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,50693,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,50791,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,50825,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,50942,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,51015,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,51031,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,51032,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,51258,udp,262.0092124938965,4373,,0
192.168.50.1,53,192.168.50.154,51270,udp,197.54512691497803,2221,,0
192.168.50.1,53,192.168.50.154,51472,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,51510,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,51549,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,51579,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,51625,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,51664,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,51678,udp,241.6603696346283,1864,,0
192.168.50.1,53,192.168.50.154,51689,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,51706,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,51811,udp,76.96613883972168,730,,0
192.168.50.1,53,192.168.50.154,51827,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,51890,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,51961,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,51980,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,52007,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,52217,udp,0.0,184,,0
192.168.50.1,53,192.168.50.154,52433,udp,0.0,443,,0
192.168.50.1,53,192.168.50.154,52456,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,52609,udp,0.0,158,,0
192.168.50.1,53,192.168.50.154,52638,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,52709,udp,0.0,242,,0
192.168.50.1,53,192.168.50.154,52748,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,52750,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,52754,udp,0.0,255,,0
192.168.50.1,53,192.168.50.154,52841,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,52871,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,52906,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,52963,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,53028,udp,0.0,268,,0
192.168.50.1,53,192.168.50.154,53055,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,53386,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,53392,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,53400,udp,0.0,433,,0
192.168.50.1,53,192.168.50.154,53459,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,53495,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,53546,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,53570,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,53577,udp,0.0,155,,0
192.168.50.1,53,192.168.50.154,53594,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,53724,udp,0.0,218,,0
192.168.50.1,53,192.168.50.154,53817,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,53840,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,53997,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,54011,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,54357,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,54379,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,54460,udp,0.8133597373962402,417,,0
